annual_income,emp_length,loan_dollar_amount,monthly_term,purpose,home_ownership,debt_to_income_ratio,monthly_installment,int_rate,total_accounts,total_payment,loan_status,grade,sub_grade
52000,6 years,6000,36,car,rent,0.0428,185.65,0.0714,25,6677,Fully Paid,A,A3
60495,8 years,6000,36,car,rent,0.0368,185.64,0.0714,15,6634,Fully Paid,A,A3
29120,< 1 year,5400,36,car,rent,0.0689,167.09,0.0714,21,5641,Fully Paid,A,A3
56902,8 years,12000,36,car,mortgage,0.0783,371.3,0.0714,20,13368,Fully Paid,A,A3
65000,10+ years,6000,36,car,mortgage,0.0343,185.65,0.0714,14,6393,Fully Paid,A,A3
70500,2 years,8000,60,car,rent,0.0271,158.94,0.0714,11,9536,Fully Paid,A,A3
36000,8 years,5975,36,car,mortgage,0.0619,185.65,0.0742,29,6683,Fully Paid,A,A3
82560,6 years,4500,36,car,rent,0.0203,139.82,0.0742,40,5033,Fully Paid,A,A3
80000,6 years,4000,36,car,mortgage,0.0187,124.45,0.0751,11,2479,Charged Off,A,A3
32468.8,10+ years,6000,36,car,mortgage,0.0690,186.67,0.0751,16,6714,Fully Paid,A,A3
58000,10+ years,1800,36,car,mortgage,0.0116,56,0.0751,28,2013,Fully Paid,A,A3
60000,10+ years,8000,36,car,mortgage,0.0498,248.89,0.0751,52,8936,Fully Paid,A,A3
80796,10+ years,5000,36,car,mortgage,0.0231,155.56,0.0751,29,5061,Fully Paid,A,A3
53000,10+ years,3000,36,car,own,0.0211,93.34,0.0751,8,3360,Fully Paid,A,A3
47000,< 1 year,3800,36,car,mortgage,0.0302,118.23,0.0751,41,1061,Charged Off,A,A3
49200,10+ years,4800,36,car,mortgage,0.0364,149.34,0.0751,6,5376,Fully Paid,A,A3
38880,1 year,9500,36,car,mortgage,0.0912,295.56,0.0751,11,10035,Fully Paid,A,A3
60000,10+ years,5500,36,car,rent,0.0342,171.11,0.0751,18,5648,Fully Paid,A,A3
40000,< 1 year,4200,36,car,rent,0.0392,130.67,0.0751,12,4704,Fully Paid,A,A3
240000,5 years,8400,36,car,mortgage,0.0131,261.34,0.0751,28,9408,Fully Paid,A,A3
26000,10+ years,7000,36,car,mortgage,0.1009,218.54,0.0774,11,7867,Fully Paid,A,A3
75000,10+ years,5000,36,car,mortgage,0.0250,156.1,0.0774,21,5584,Fully Paid,A,A3
45000,< 1 year,5950,36,car,mortgage,0.0495,185.76,0.0774,18,5989,Fully Paid,A,A3
79000,1 year,7000,36,car,mortgage,0.0332,218.54,0.0774,22,7724,Fully Paid,A,A3
102996,9 years,8000,36,car,mortgage,0.0291,249.75,0.0774,30,8934,Fully Paid,A,A3
70000,9 years,5000,36,car,rent,0.0268,156.1,0.0774,16,5620,Fully Paid,A,A3
30000,1 year,5600,36,car,rent,0.0699,174.83,0.0774,9,6293,Fully Paid,A,A3
75400,< 1 year,6125,36,car,rent,0.0304,191.22,0.0774,15,6403,Fully Paid,A,A3
75000,10+ years,6000,36,car,mortgage,0.0300,187.32,0.0774,34,6743,Fully Paid,A,A3
75000,9 years,20400,36,car,own,0.1019,636.86,0.0774,24,22928,Fully Paid,A,A3
64200,2 years,3000,36,car,rent,0.0175,93.66,0.0774,6,3061,Fully Paid,A,A3
60000,3 years,10000,36,car,mortgage,0.0627,313.37,0.08,11,10513,Fully Paid,A,A3
90000,4 years,5000,36,car,mortgage,0.0209,156.69,0.08,12,5641,Fully Paid,A,A3
81804,4 years,9000,36,car,mortgage,0.0414,282.03,0.08,30,10153,Fully Paid,A,A3
58500,6 years,4000,36,car,mortgage,0.0257,125.35,0.08,19,4512,Fully Paid,A,A3
99996,3 years,8000,36,car,mortgage,0.0301,250.69,0.08,18,8551,Fully Paid,A,A3
75000,10+ years,4800,36,car,own,0.0241,150.42,0.08,27,4832,Fully Paid,A,A3
40000,< 1 year,6000,36,car,own,0.0564,188.02,0.08,17,6739,Fully Paid,A,A3
30000,2 years,5500,36,car,rent,0.0689,172.35,0.08,21,6034,Fully Paid,A,A3
23198,2 years,6000,36,car,rent,0.0973,188.02,0.08,21,6769,Fully Paid,A,A3
70500,10+ years,15000,36,car,rent,0.0800,470.05,0.08,16,16559,Fully Paid,A,A3
44500,2 years,7000,36,car,rent,0.0592,219.36,0.08,21,7833,Fully Paid,A,A3
40000,< 1 year,10000,36,car,rent,0.0940,313.37,0.08,23,11281,Fully Paid,A,A3
37050,2 years,8000,36,car,rent,0.0812,250.69,0.08,23,9025,Fully Paid,A,A3
42108,< 1 year,2500,36,car,own,0.0223,78.35,0.08,20,2797,Fully Paid,A,A3
27996,8 years,3700,36,car,rent,0.0497,115.95,0.08,10,4004,Fully Paid,A,A3
39600,7 years,9900,36,car,own,0.0920,303.61,0.0654,8,10930,Fully Paid,A,A4
88000,10+ years,3800,36,car,mortgage,0.0159,116.54,0.0654,55,4195,Fully Paid,A,A4
42000,3 years,11000,36,car,mortgage,0.0703,246.11,0.0654,9,8824,Fully Paid,A,A4
23000,4 years,5500,36,car,rent,0.0880,168.67,0.0654,8,5978,Fully Paid,A,A4
20400,< 1 year,4800,36,car,rent,0.0866,147.21,0.0654,12,5300,Fully Paid,A,A4
65000,10+ years,12000,60,car,rent,0.0280,151.79,0.0654,8,9107,Fully Paid,A,A4
36566,10+ years,16500,60,car,mortgage,0.1061,323.16,0.0654,37,17127,Charged Off,A,A4
52000,4 years,11200,60,car,rent,0.0328,142,0.0654,36,8519,Fully Paid,A,A4
70000,1 year,15325,60,car,rent,0.0515,300.14,0.0654,32,18008,Fully Paid,A,A4
58000,1 year,4000,36,car,mortgage,0.0257,124.04,0.0729,24,4466,Fully Paid,A,A4
48000,10+ years,6500,36,car,mortgage,0.0504,201.57,0.0729,24,7257,Fully Paid,A,A4
60000,6 years,3050,36,car,mortgage,0.0189,94.59,0.0729,12,3170,Fully Paid,A,A4
40560,8 years,3000,36,car,mortgage,0.0275,93.03,0.0729,47,3292,Fully Paid,A,A4
40000,1 year,4000,36,car,mortgage,0.0372,124.04,0.0729,12,4465,Fully Paid,A,A4
30000,10+ years,2000,36,car,rent,0.0248,62.02,0.0729,4,2233,Fully Paid,A,A4
70000,2 years,3000,36,car,rent,0.0159,93.03,0.0729,5,3334,Fully Paid,A,A4
65000,3 years,4200,36,car,rent,0.0240,130.25,0.0729,8,4690,Fully Paid,A,A4
14400,4 years,4000,36,car,rent,0.1034,124.04,0.0729,3,4322,Fully Paid,A,A4
43300,4 years,8000,36,car,rent,0.0688,248.08,0.0729,10,8568,Fully Paid,A,A4
74400,1 year,3500,36,car,rent,0.0175,108.54,0.0729,12,3522,Fully Paid,A,A4
94128,10+ years,4400,36,car,mortgage,0.0174,136.45,0.0729,25,4912,Fully Paid,A,A4
50400,7 years,3000,36,car,mortgage,0.0222,93.03,0.0729,7,3344,Fully Paid,A,A4
70000,4 years,6000,36,car,rent,0.0319,186.06,0.0729,11,6512,Fully Paid,A,A4
144000,< 1 year,5800,36,car,rent,0.0150,179.86,0.0729,33,6057,Fully Paid,A,A4
115600,4 years,9925,36,car,mortgage,0.0319,307.78,0.0729,32,11075,Fully Paid,A,A4
150000,8 years,3000,36,car,mortgage,0.0074,93.03,0.0729,36,3350,Fully Paid,A,A4
75000,3 years,3500,36,car,rent,0.0174,108.54,0.0729,8,3752,Fully Paid,A,A4
90000,10+ years,5000,60,car,mortgage,0.0133,99.7,0.0729,21,5981,Fully Paid,A,A4
43872,10+ years,2500,60,car,mortgage,0.0136,49.85,0.0729,31,2991,Fully Paid,A,A4
49200,5 years,5000,60,car,mortgage,0.0243,99.7,0.0729,32,5981,Fully Paid,A,A4
61200,8 years,5000,60,car,mortgage,0.0195,99.7,0.0729,28,5981,Fully Paid,A,A4
99996,10+ years,7000,60,car,mortgage,0.0167,139.57,0.0729,34,8374,Fully Paid,A,A4
54000,3 years,5600,60,car,mortgage,0.0248,111.66,0.0729,19,6699,Fully Paid,A,A4
78996,6 years,6000,60,car,mortgage,0.0182,119.63,0.0729,30,7178,Fully Paid,A,A4
60000,7 years,5000,60,car,mortgage,0.0199,99.7,0.0729,15,4510,Charged Off,A,A4
33600,6 years,3500,60,car,mortgage,0.0249,69.79,0.0729,38,4161,Fully Paid,A,A4
48000,6 years,6000,36,car,rent,0.0467,186.61,0.0749,16,1575,Charged Off,A,A4
60000,1 year,4800,36,car,mortgage,0.0299,149.29,0.0749,6,5374,Fully Paid,A,A4
73000,10+ years,5000,36,car,mortgage,0.0256,155.51,0.0749,23,5312,Fully Paid,A,A4
68000,10+ years,8000,36,car,mortgage,0.0439,248.82,0.0749,13,8615,Fully Paid,A,A4
112992,10+ years,8000,36,car,mortgage,0.0264,248.82,0.0749,25,8957,Fully Paid,A,A4
110400,10+ years,3000,36,car,mortgage,0.0101,93.31,0.0749,41,3359,Fully Paid,A,A4
36000,2 years,7000,36,car,mortgage,0.0726,217.72,0.0749,13,7838,Fully Paid,A,A4
60000,8 years,2000,36,car,mortgage,0.0124,62.21,0.0749,31,2239,Fully Paid,A,A4
97000,6 years,6000,36,car,mortgage,0.0231,186.61,0.0749,20,6527,Fully Paid,A,A4
28000,3 years,4800,36,car,own,0.0640,149.29,0.0749,19,5374,Fully Paid,A,A4
71040,1 year,13100,36,car,rent,0.0688,407.44,0.0749,17,13488,Fully Paid,A,A4
65000,1 year,4000,36,car,rent,0.0230,124.41,0.0749,10,4479,Fully Paid,A,A4
110000,2 years,3200,36,car,rent,0.0109,99.53,0.0749,17,3481,Fully Paid,A,A4
45600,5 years,2000,36,car,rent,0.0164,62.21,0.0749,13,2239,Fully Paid,A,A4
45000,1 year,7000,36,car,rent,0.0581,217.72,0.0749,14,7839,Fully Paid,A,A4
78644,3 years,5900,36,car,mortgage,0.0280,183.5,0.0749,37,6448,Charged Off,A,A4
150600,3 years,2400,36,car,mortgage,0.0059,74.65,0.0749,34,2687,Fully Paid,A,A4
144000,6 years,5000,36,car,mortgage,0.0130,155.51,0.0749,16,5598,Fully Paid,A,A4
28800,< 1 year,6000,36,car,mortgage,0.0778,186.61,0.0749,15,6695,Fully Paid,A,A4
51000,< 1 year,7000,36,car,mortgage,0.0512,217.72,0.0749,25,7817,Fully Paid,A,A4
65000,4 years,2000,36,car,mortgage,0.0115,62.21,0.0749,33,2239,Fully Paid,A,A4
20000,2 years,10000,36,car,rent,0.1302,216.94,0.0749,4,7796,Fully Paid,A,A4
45000,5 years,15000,36,car,rent,0.1244,466.53,0.0749,5,16795,Fully Paid,A,A4
60000,5 years,6000,36,car,rent,0.0373,186.61,0.0749,24,6566,Fully Paid,A,A4
35000,< 1 year,3200,36,car,rent,0.0341,99.53,0.0749,9,3583,Fully Paid,A,A4
24720,5 years,5000,36,car,rent,0.0755,155.51,0.0749,11,5439,Fully Paid,A,A4
42000,2 years,10000,36,car,mortgage,0.0889,311.02,0.0749,18,11185,Fully Paid,A,A4
72600,10+ years,5000,60,car,mortgage,0.0166,100.17,0.0749,23,5987,Fully Paid,A,A4
75181,10+ years,6000,36,car,mortgage,0.0298,186.66,0.0751,30,6720,Fully Paid,A,A4
38400,5 years,6000,36,car,mortgage,0.0583,186.67,0.0751,13,6641,Fully Paid,A,A4
52000,5 years,3900,36,car,mortgage,0.0280,121.33,0.0751,12,4168,Fully Paid,A,A4
100000,5 years,11000,36,car,mortgage,0.0411,342.21,0.0751,36,12106,Fully Paid,A,A4
58000,< 1 year,9600,36,car,mortgage,0.0618,298.65,0.0751,11,10669,Fully Paid,A,A4
97200,2 years,5500,36,car,mortgage,0.0211,171.11,0.0751,26,6138,Fully Paid,A,A4
66000,5 years,8500,36,car,mortgage,0.0481,264.45,0.0751,24,9520,Fully Paid,A,A4
40000,< 1 year,6000,36,car,rent,0.0560,186.67,0.0751,13,6720,Fully Paid,A,A4
58000,5 years,6400,36,car,rent,0.0412,199.1,0.0751,18,7168,Fully Paid,A,A4
32000,4 years,4500,36,car,rent,0.0525,140,0.0751,21,4733,Fully Paid,A,A4
51500,6 years,4000,36,car,mortgage,0.0290,124.45,0.0751,23,4480,Fully Paid,A,A4
45996,2 years,6300,36,car,mortgage,0.0511,195.99,0.0751,17,7056,Fully Paid,A,A4
37000,2 years,7000,36,car,rent,0.0706,217.77,0.0751,16,7128,Fully Paid,A,A4
50000,1 year,12000,36,car,rent,0.0896,373.33,0.0751,26,13440,Fully Paid,A,A4
30000,2 years,5000,60,car,mortgage,0.0401,100.22,0.0751,14,5692,Fully Paid,A,A4
71328,8 years,2000,60,car,mortgage,0.0067,40.09,0.0751,27,2383,Fully Paid,A,A4
108000,1 year,4000,60,car,mortgage,0.0089,80.18,0.0751,58,4810,Fully Paid,A,A4
59000,10+ years,5500,36,car,own,0.0350,172.1,0.079,23,6172,Fully Paid,A,A4
139200,5 years,6000,36,car,mortgage,0.0162,187.75,0.079,31,6395,Fully Paid,A,A4
30000,3 years,5100,36,car,mortgage,0.0638,159.59,0.079,23,5734,Fully Paid,A,A4
26400,10+ years,3800,36,car,rent,0.0541,118.91,0.079,10,4300,Fully Paid,A,A4
53000,< 1 year,5000,36,car,rent,0.0354,156.46,0.079,21,5185,Fully Paid,A,A4
60000,< 1 year,4000,36,car,mortgage,0.0250,125.17,0.079,25,4213,Fully Paid,A,A4
96000,< 1 year,3000,36,car,mortgage,0.0117,93.88,0.079,14,3376,Fully Paid,A,A4
72000,9 years,10000,36,car,mortgage,0.0522,312.91,0.079,46,11083,Fully Paid,A,A4
60000,< 1 year,13250,36,car,own,0.0829,414.6,0.079,13,14925,Fully Paid,A,A4
75000,< 1 year,2200,36,car,rent,0.0110,68.84,0.079,43,2438,Fully Paid,A,A4
74000,10+ years,5000,36,car,mortgage,0.0254,156.46,0.079,14,5477,Fully Paid,A,A4
75000,6 years,8000,36,car,rent,0.0401,250.33,0.079,9,9012,Fully Paid,A,A4
102000,6 years,12000,60,car,mortgage,0.0286,242.75,0.079,22,13356,Fully Paid,A,A4
73171,9 years,10200,60,car,mortgage,0.0338,206.34,0.079,20,12252,Fully Paid,A,A4
60000,6 years,14000,60,car,own,0.0566,283.2,0.079,50,14092,Fully Paid,A,A4
173000,< 1 year,10000,36,car,mortgage,0.0218,313.67,0.0807,41,10435,Fully Paid,A,A4
62000,10+ years,11000,36,car,rent,0.0668,345.06,0.0807,23,12247,Fully Paid,A,A4
26796,10+ years,3000,36,car,mortgage,0.0353,78.72,0.0832,15,2834,Fully Paid,A,A4
31000,2 years,1800,36,car,rent,0.0195,50.38,0.0832,11,1806,Fully Paid,A,A4
31000,2 years,6500,36,car,rent,0.0536,138.54,0.0832,11,4967,Fully Paid,A,A4
32004,3 years,4000,36,car,rent,0.0472,125.94,0.0832,13,4525,Fully Paid,A,A4
28880,4 years,2000,36,car,mortgage,0.0263,63.23,0.0859,12,2260,Fully Paid,A,A4
42312,1 year,5500,36,car,rent,0.0493,173.86,0.0859,14,6150,Fully Paid,A,A4
25000,< 1 year,10000,36,car,rent,0.1517,316.11,0.0859,10,11380,Fully Paid,A,A4
20004,2 years,2000,36,car,rent,0.0379,63.23,0.0859,6,1401,Charged Off,A,A4
116004,10+ years,6775,36,car,mortgage,0.0222,214.16,0.0859,12,7671,Fully Paid,A,A4
90000,< 1 year,7000,36,car,rent,0.0295,221.28,0.0859,20,7966,Fully Paid,A,A4
135000,10+ years,8000,36,car,mortgage,0.0227,255.58,0.0932,14,9201,Fully Paid,A,A4
50000,5 years,3000,36,car,mortgage,0.0230,95.85,0.0932,28,3189,Fully Paid,A,A4
42000,1 year,5800,36,car,rent,0.0529,185.3,0.0932,27,6716,Fully Paid,A,A4
98000,3 years,4000,36,car,rent,0.0156,127.79,0.0932,25,4599,Fully Paid,A,A4
189996,4 years,8400,36,car,rent,0.0169,268.36,0.0932,13,9661,Fully Paid,A,A4
16000,< 1 year,3200,36,car,rent,0.0767,102.23,0.0932,8,3680,Fully Paid,A,A4
60000,6 years,10000,36,car,rent,0.0639,319.47,0.0932,30,10911,Fully Paid,A,A4
48996,2 years,4000,36,car,rent,0.0313,127.79,0.0932,21,4597,Fully Paid,A,A4
63504,2 years,16500,36,car,rent,0.0996,527.13,0.0932,30,5797,Charged Off,A,A4
110000,8 years,6400,36,car,rent,0.0223,204.46,0.0932,12,7361,Fully Paid,A,A4
123000,7 years,15000,36,car,mortgage,0.0274,280.61,0.0691,50,10102,Fully Paid,A,A5
97000,6 years,12975,36,car,mortgage,0.0313,252.86,0.0691,12,8921,Fully Paid,A,A5
50000,1 year,10000,36,car,rent,0.0479,199.67,0.0691,26,6778,Fully Paid,A,A5
21000,6 years,7500,36,car,rent,0.1322,231.27,0.0691,8,7914,Fully Paid,A,A5
25000,< 1 year,5000,36,car,rent,0.0740,154.18,0.0691,32,5551,Fully Paid,A,A5
78000,2 years,6000,36,car,mortgage,0.0285,185.02,0.0691,48,6661,Fully Paid,A,A5
60000,4 years,6500,60,car,rent,0.0187,93.37,0.0691,25,5483,Fully Paid,A,A5
70800,10+ years,2500,36,car,mortgage,0.0132,77.95,0.0766,39,1479,Charged Off,A,A5
86400,3 years,9000,36,car,mortgage,0.0390,280.62,0.0766,10,8945,Charged Off,A,A5
84000,9 years,5900,36,car,mortgage,0.0263,183.97,0.0766,31,6534,Fully Paid,A,A5
72000,1 year,2100,36,car,mortgage,0.0109,65.48,0.0766,39,2357,Fully Paid,A,A5
100000,5 years,6000,36,car,own,0.0224,187.08,0.0766,16,6739,Fully Paid,A,A5
30000,2 years,6000,36,car,rent,0.0748,187.08,0.0766,21,6722,Fully Paid,A,A5
40000,6 years,4500,36,car,rent,0.0421,140.31,0.0766,16,4733,Fully Paid,A,A5
53196,10+ years,3000,36,car,rent,0.0211,93.54,0.0766,21,3383,Fully Paid,A,A5
66000,2 years,7000,36,car,rent,0.0397,218.26,0.0766,7,7857,Fully Paid,A,A5
90000,9 years,14400,36,car,mortgage,0.0599,448.99,0.0766,19,15533,Fully Paid,A,A5
30000,2 years,2000,36,car,rent,0.0249,62.36,0.0766,8,2245,Fully Paid,A,A5
63533,< 1 year,5400,36,car,rent,0.0318,168.38,0.0766,20,5866,Fully Paid,A,A5
57600,< 1 year,8000,36,car,rent,0.0520,249.44,0.0766,16,8373,Fully Paid,A,A5
47000,1 year,5300,36,car,rent,0.0422,165.26,0.0766,16,5843,Fully Paid,A,A5
42000,5 years,5500,36,car,rent,0.0490,171.49,0.0766,11,6152,Fully Paid,A,A5
107500,10+ years,10000,36,car,rent,0.0348,311.8,0.0766,30,11226,Fully Paid,A,A5
50400,10+ years,4800,60,car,mortgage,0.0230,96.55,0.0766,20,5788,Fully Paid,A,A5
43000,10+ years,7500,60,car,mortgage,0.0421,150.86,0.0766,22,9051,Fully Paid,A,A5
38400,10+ years,4250,60,car,mortgage,0.0267,85.49,0.0766,18,5129,Fully Paid,A,A5
42000,4 years,8000,60,car,mortgage,0.0460,160.92,0.0766,22,9615,Fully Paid,A,A5
27600,2 years,2000,60,car,rent,0.0175,40.23,0.0766,10,2414,Fully Paid,A,A5
59386,1 year,2800,60,car,mortgage,0.0114,56.32,0.0766,14,3213,Fully Paid,A,A5
23328,10+ years,5750,60,car,mortgage,0.0595,115.66,0.0766,18,6939,Fully Paid,A,A5
45600,2 years,4500,60,car,mortgage,0.0238,90.52,0.0766,25,4744,Fully Paid,A,A5
98899,5 years,6000,60,car,mortgage,0.0146,120.69,0.0766,12,7168,Fully Paid,A,A5
18000,< 1 year,4750,36,car,own,0.0991,148.59,0.0788,16,2216,Charged Off,A,A5
52000,< 1 year,10000,36,car,mortgage,0.0722,312.81,0.0788,20,11277,Fully Paid,A,A5
69000,2 years,11000,36,car,mortgage,0.0598,344.09,0.0788,59,11796,Fully Paid,A,A5
35100,3 years,4650,36,car,mortgage,0.0497,145.46,0.0788,10,5237,Fully Paid,A,A5
52300,1 year,10800,36,car,rent,0.0775,337.83,0.0788,21,12163,Fully Paid,A,A5
8004,4 years,3000,36,car,rent,0.1407,93.85,0.0788,16,3379,Fully Paid,A,A5
60000,10+ years,4600,36,car,rent,0.0288,143.9,0.0788,27,4631,Fully Paid,A,A5
45000,9 years,12000,36,car,rent,0.1001,375.38,0.0788,20,12815,Fully Paid,A,A5
125000,8 years,17000,36,car,mortgage,0.0511,531.78,0.0788,21,19141,Fully Paid,A,A5
40080,7 years,2350,36,car,rent,0.0220,73.52,0.0788,11,2647,Fully Paid,A,A5
67500,3 years,3000,36,car,mortgage,0.0167,93.85,0.0788,38,3367,Fully Paid,A,A5
43000,1 year,4000,36,car,mortgage,0.0349,125.13,0.0788,13,4452,Fully Paid,A,A5
122400,10+ years,10000,36,car,mortgage,0.0307,312.82,0.0788,34,11206,Fully Paid,A,A5
110000,10+ years,3000,36,car,rent,0.0102,93.85,0.0788,27,3379,Fully Paid,A,A5
30000,5 years,5900,36,car,rent,0.0738,184.56,0.0788,11,6484,Fully Paid,A,A5
27000,1 year,5000,36,car,rent,0.0695,156.41,0.0788,5,5316,Fully Paid,A,A5
118200,10+ years,6500,60,car,mortgage,0.0133,131.43,0.0788,39,7786,Fully Paid,A,A5
36000,4 years,3800,60,car,mortgage,0.0256,76.84,0.0788,19,4176,Fully Paid,A,A5
63600,6 years,4900,60,car,mortgage,0.0187,99.08,0.0788,33,5944,Fully Paid,A,A5
117000,10+ years,4200,60,car,mortgage,0.0087,84.92,0.0788,38,5095,Fully Paid,A,A5
40000,3 years,4800,60,car,mortgage,0.0291,97.06,0.0788,14,5408,Fully Paid,A,A5
76000,5 years,8000,60,car,mortgage,0.0255,161.76,0.0788,15,9671,Fully Paid,A,A5
57600,7 years,8400,60,car,mortgage,0.0354,169.84,0.0788,22,10165,Fully Paid,A,A5
50400,8 years,16000,60,car,mortgage,0.0504,211.8,0.0788,12,11294,Fully Paid,A,A5
55800,8 years,6600,60,car,mortgage,0.0287,133.45,0.0788,25,7350,Fully Paid,A,A5
24166,5 years,4000,60,car,own,0.0402,80.88,0.0788,23,4128,Fully Paid,A,A5
78000,1 year,4600,60,car,mortgage,0.0143,93.01,0.0788,47,5144,Fully Paid,A,A5
104400,10+ years,6000,60,car,mortgage,0.0139,121.32,0.0788,42,7162,Fully Paid,A,A5
32000,6 years,4500,60,car,rent,0.0341,90.99,0.0788,16,5470,Fully Paid,A,A5
234996,4 years,20000,60,car,mortgage,0.0136,266.39,0.0788,36,15958,Fully Paid,A,A5
168000,4 years,9000,60,car,mortgage,0.0130,181.98,0.0788,37,10918,Fully Paid,A,A5
96000,3 years,5000,60,car,mortgage,0.0126,101.1,0.0788,14,6066,Fully Paid,A,A5
63945,3 years,5000,60,car,mortgage,0.0190,101.1,0.0788,37,5327,Fully Paid,A,A5
108396,10+ years,8000,60,car,mortgage,0.0179,161.76,0.0788,16,9671,Fully Paid,A,A5
104860,8 years,5000,60,car,mortgage,0.0116,101.1,0.0788,20,5544,Fully Paid,A,A5
22800,3 years,2400,36,car,rent,0.0399,75.76,0.0849,3,2278,Charged Off,A,A5
55000,1 year,8000,36,car,mortgage,0.0551,252.51,0.0849,27,9090,Fully Paid,A,A5
45600,3 years,1450,36,car,mortgage,0.0120,45.77,0.0849,18,1647,Fully Paid,A,A5
42000,3 years,7000,36,car,own,0.0631,220.95,0.0849,16,7145,Fully Paid,A,A5
40000,10+ years,5000,36,car,own,0.0473,157.82,0.0849,29,5414,Fully Paid,A,A5
120000,4 years,7000,36,car,own,0.0221,220.95,0.0849,46,7954,Fully Paid,A,A5
50000,1 year,3000,36,car,rent,0.0227,94.69,0.0849,21,3366,Fully Paid,A,A5
36000,< 1 year,2425,36,car,rent,0.0255,76.55,0.0849,19,2752,Fully Paid,A,A5
21600,< 1 year,2100,36,car,own,0.0368,66.29,0.0849,6,2386,Fully Paid,A,A5
43000,1 year,3000,36,car,rent,0.0264,94.69,0.0849,8,3022,Fully Paid,A,A5
28800,3 years,2000,36,car,rent,0.0263,63.13,0.0849,5,2273,Fully Paid,A,A5
62467,< 1 year,10625,36,car,rent,0.0644,335.36,0.0849,10,11455,Fully Paid,A,A5
30000,< 1 year,6500,36,car,rent,0.0821,205.16,0.0849,7,7396,Fully Paid,A,A5
22800,< 1 year,2000,36,car,rent,0.0332,63.13,0.0849,18,2060,Fully Paid,A,A5
86748,2 years,10000,36,car,mortgage,0.0437,315.63,0.0849,10,10071,Fully Paid,A,A5
50400,4 years,7500,36,car,rent,0.0564,236.73,0.0849,27,4808,Charged Off,A,A5
87600,10+ years,15000,36,car,mortgage,0.0649,473.45,0.0849,32,16376,Fully Paid,A,A5
130000,10+ years,9800,36,car,mortgage,0.0286,309.32,0.0849,39,10815,Fully Paid,A,A5
52800,10+ years,3000,60,car,mortgage,0.0140,61.54,0.0849,15,3630,Fully Paid,A,A5
80000,10+ years,13000,60,car,mortgage,0.0400,266.66,0.0849,32,14246,Fully Paid,A,A5
129996,5 years,6500,60,car,mortgage,0.0123,133.33,0.0849,26,7520,Fully Paid,A,A5
39600,6 years,5500,60,car,mortgage,0.0342,112.82,0.0849,17,6491,Fully Paid,A,A5
107000,10+ years,2400,60,car,mortgage,0.0055,49.23,0.0849,45,2794,Fully Paid,A,A5
66000,1 year,2650,60,car,mortgage,0.0099,54.36,0.0849,52,2669,Fully Paid,A,A5
70800,7 years,7500,60,car,mortgage,0.0261,153.84,0.0849,32,8604,Current,A,A5
41520,3 years,4000,60,car,own,0.0237,82.05,0.0849,18,4831,Current,A,A5
60000,< 1 year,10000,36,car,mortgage,0.0633,316.28,0.0863,27,11340,Fully Paid,A,A5
10000,2 years,4500,36,car,own,0.1708,142.33,0.0863,6,5096,Fully Paid,A,A5
21000,< 1 year,5000,36,car,rent,0.0633,110.7,0.0863,6,3985,Fully Paid,A,A5
116400,10+ years,24000,36,car,mortgage,0.0786,762.08,0.089,31,8650,Charged Off,A,A5
24600,6 years,4800,36,car,mortgage,0.0744,152.42,0.089,21,1978,Charged Off,A,A5
30000,7 years,7200,36,car,rent,0.0915,228.63,0.089,25,5845,Charged Off,A,A5
47500,10+ years,3500,36,car,mortgage,0.0281,111.14,0.089,34,3526,Fully Paid,A,A5
112440,9 years,9000,36,car,rent,0.0305,285.78,0.089,33,10267,Fully Paid,A,A5
62400,10+ years,4000,36,car,mortgage,0.0244,127.02,0.089,26,4532,Fully Paid,A,A5
34400,5 years,4200,36,car,rent,0.0465,133.37,0.089,16,4738,Fully Paid,A,A5
40000,< 1 year,12800,36,car,rent,0.1219,406.45,0.089,12,14632,Fully Paid,A,A5
54000,8 years,3800,36,car,mortgage,0.0268,120.67,0.089,28,4313,Fully Paid,A,A5
76000,10+ years,6000,36,car,mortgage,0.0301,190.52,0.089,38,6675,Fully Paid,A,A5
31776,7 years,6000,36,car,mortgage,0.0719,190.52,0.089,8,6809,Fully Paid,A,A5
77954,10+ years,12000,60,car,mortgage,0.0383,248.52,0.089,19,2601,Charged Off,A,A5
60000,10+ years,5600,60,car,mortgage,0.0232,115.98,0.089,28,6026,Fully Paid,A,A5
85200,4 years,15950,60,car,mortgage,0.0465,330.33,0.089,15,16153,Fully Paid,A,A5
48000,10+ years,6000,60,car,mortgage,0.0311,124.26,0.089,30,7236,Fully Paid,A,A5
54000,7 years,6000,60,car,mortgage,0.0276,124.26,0.089,25,7340,Fully Paid,A,A5
118392,4 years,12000,60,car,mortgage,0.0252,248.52,0.089,24,13481,Fully Paid,A,A5
45000,10+ years,7000,36,car,mortgage,0.0593,222.41,0.0894,24,6446,Charged Off,A,A5
100000,4 years,4500,36,car,mortgage,0.0172,142.98,0.0894,49,5125,Fully Paid,A,A5
84000,2 years,6000,36,car,rent,0.0272,190.63,0.0894,4,6691,Fully Paid,A,A5
34000,< 1 year,7500,36,car,rent,0.0841,238.29,0.0894,8,8579,Fully Paid,A,A5
89000,< 1 year,12000,36,car,rent,0.0514,381.26,0.0894,32,13726,Fully Paid,A,A5
